call_id,customer_id,duration,latitude,longitude,phone_number_called,date,time
1,733,496,54.0925958,35.349821,2622318911,2021-01-01,10:27:16
2,39,62,-0.7134403,37.0373502,4039787401,2021-01-01,10:43:13
3,982,166,32.3266,35.05262,9012995713,2021-01-01,13:55:39
4,586,57,13.9142931,-87.921223,6074230515,2021-01-01,15:47:32
5,245,444,41.26327,71.54239,2775503307,2021-01-01,18:28:36
6,411,277,32.8676912,-80.017511,1204063727,2021-01-01,12:38:33
7,879,270,-3.4892191,114.8804853,4372262129,2021-01-01,21:13:39
8,590,243,56.031038,47.2957582,3849558143,2021-01-01,17:09:02
9,51,311,18.0735299,-15.9582372,8988609773,2021-01-01,8:54:26
10,570,167,28.39895,113.02064,3483086837,2021-01-01,12:20:49
11,488,417,-21.3601809,-48.2282659,4461709799,2021-01-01,11:06:28
12,383,212,28.14932,105.497935,3944579447,2021-01-01,14:22:55
13,14,339,38.919414,121.56013,5945268480,2021-01-01,14:02:41
14,864,212,-6.1869527,106.1698563,1241522626,2021-01-01,18:50:11
15,686,218,55.9576019,36.2249059,9529199354,2021-01-01,10:25:35
16,289,411,32.7104016,44.2810588,3055834241,2021-01-01,18:18:07
17,275,409,-5.8327847,-43.8356779,7981871560,2021-01-01,7:23:07
18,845,280,21.8693003,106.7691712,1294264323,2021-01-01,11:57:22
19,414,266,19.5037694,-99.1324282,3932320140,2021-01-01,18:15:51
20,605,296,-6.3623,105.9128,5048532704,2021-01-01,10:21:14
21,49,225,35.761829,115.029215,1628640374,2021-01-01,15:25:38
22,401,154,24.848984,116.604574,1644827882,2021-01-01,17:52:05
23,354,446,17.6444514,-101.5610424,2696848132,2021-01-01,13:08:22
24,527,381,49.0226636,17.7792323,1742997111,2021-01-01,9:51:15
25,224,317,39.827482,122.099452,4143906234,2021-01-01,21:14:53
26,103,491,31.805855,119.188203,7798665946,2021-01-01,22:32:54
27,525,480,50.1470572,19.204916,4008075930,2021-01-01,15:31:49
28,858,549,37.136977,140.4367415,8742659268,2021-01-01,10:07:22
29,278,181,50.1191124,26.8281141,2678012563,2021-01-01,16:13:15
30,603,240,30.572815,104.066801,3077994266,2021-01-01,12:00:38
31,788,260,-6.9667234,108.6699011,6579231984,2021-01-01,16:03:12
32,930,299,32.0777617,71.0179089,1505593748,2021-01-01,20:40:13
33,544,241,34.994502,118.3126338,1745828557,2021-01-01,12:56:18
34,866,542,52.7604883,-8.8950821,6965232027,2021-01-01,14:42:31
35,920,203,-6.9508,114.0064,4034812693,2021-01-01,21:17:43
36,425,149,54.7974136,24.571229,5965397882,2021-01-01,19:15:07
37,391,382,44.0086458,22.9355752,6003466267,2021-01-01,17:57:45
38,563,254,7.65,5.55,7557788362,2021-01-01,14:00:40
39,29,523,-43.2744697,-65.3109259,9426534819,2021-01-01,12:03:32
40,583,321,29.341703,110.085494,8845146728,2021-01-01,13:37:41
41,904,249,38.5774849,23.6417373,3018119843,2021-01-01,11:15:19
42,282,208,48.851792,123.810261,1939477859,2021-01-01,13:17:56
43,307,378,31.491169,120.31191,9867288836,2021-01-01,17:56:50
44,741,479,-28.6454883,-53.605355,8033290946,2021-01-01,19:50:19
45,652,450,-8.781999,36.3608819,3884798727,2021-01-01,11:09:00
