call_id,customer_id,duration,latitude,longitude,phone_number_called,date,time
1,481,645,-6.8754582,108.1308481,1149709679,2021-01-02,9:23:11
2,792,440,22.556499,114.236875,9226540751,2021-01-02,11:53:52
3,228,412,14.1929998,121.1317352,4959340533,2021-01-02,8:23:57
4,5,245,22.585397,113.38492,2521472041,2021-01-02,22:37:53
5,267,221,11.1228862,122.5402486,8832781848,2021-01-02,13:19:45
6,687,174,19.4325127,-99.1218024,7077759770,2021-01-02,9:07:20
7,688,111,41.9250632,25.5508839,3309845375,2021-01-02,17:26:03
8,260,420,25.0746235,90.1494904,4399898746,2021-01-02,11:58:26
9,289,66,1.2540403,42.5779182,6905357721,2021-01-02,17:44:51
10,318,520,15.8278,120.4946766,4697543024,2021-01-02,10:14:00
11,677,265,50.4501,30.5234,4525481755,2021-01-02,15:09:42
12,150,156,-26.7649439,26.4252906,2565789305,2021-01-02,12:43:00
13,659,313,-6.2696101,106.0669571,3064014408,2021-01-02,20:05:58
14,33,364,40.131487,-8.3317519,6835839890,2021-01-02,19:40:23
15,398,399,36.088005,111.518975,3142274030,2021-01-02,16:47:54
16,123,388,-5.0402647,103.8390162,5618441857,2021-01-02,16:55:01
17,363,350,9.0691769,-62.0458106,7586978450,2021-01-02,21:18:39
18,426,213,20.7595709,-103.427389,5897726738,2021-01-02,12:35:04
19,996,524,-6.7715938,111.2651267,8331474163,2021-01-02,8:21:56
20,810,130,60.1555962,15.2372246,5555283534,2021-01-02,16:03:28
21,963,219,-7.6247732,110.2951364,7496175237,2021-01-02,9:37:36
22,302,324,35.886399,10.5915072,6643915139,2021-01-02,10:40:48
23,360,362,-4.5699815,-45.133574,2835328531,2021-01-02,20:53:19
24,280,337,38.5994652,-8.4602494,9812256667,2021-01-02,8:32:43
25,740,367,-11.7843129,-75.4242758,4618906997,2021-01-02,10:21:10
26,918,394,50.2160221,20.3179338,3833994142,2021-01-02,18:22:48
27,509,332,28.520684,112.140063,4106528135,2021-01-02,20:27:42
28,46,289,-8.7876456,121.6029824,2774729498,2021-01-02,13:31:45
29,590,412,58.0819675,55.8727412,6105611834,2021-01-02,22:13:44
30,553,168,-27.5948698,-48.5482195,6838512651,2021-01-02,11:01:08
31,366,588,59.8583045,30.0461164,1576904297,2021-01-02,10:31:00
32,274,240,36.4109466,128.1590828,6055429898,2021-01-02,22:59:30
33,832,354,-6.1583904,106.4288088,6631960672,2021-01-02,8:16:01
34,293,230,-8.1553145,111.8270486,5345789560,2021-01-02,11:32:57
35,462,461,-22.5923709,27.637617,5792229705,2021-01-02,17:25:45
